cycle,effective_error,trim_word,sign_pos,sign_neg
0,10,0,1,0
1,10,0,1,0
2,10,0,1,0
3,10,0,1,0
4,10,0,1,0
5,10,0,1,0
6,10,0,1,0
7,10,0,1,0
8,10,0,1,0
9,10,0,1,0
10,10,0,1,0
11,10,0,1,0
12,10,0,1,0
13,10,0,1,0
14,10,0,1,0
15,10,0,1,0
16,10,0,1,0
17,10,0,1,0
18,10,0,1,0
19,10,0,1,0
20,10,0,1,0
21,10,0,1,0
22,10,0,1,0
23,10,0,1,0
24,10,0,1,0
25,10,0,1,0
26,10,0,1,0
27,10,0,1,0
28,10,0,1,0
29,10,0,1,0
30,10,0,1,0
31,9,1,1,0
32,9,1,1,0
33,9,1,1,0
34,9,1,1,0
35,9,1,1,0
36,9,1,1,0
37,9,1,1,0
38,9,1,1,0
39,9,1,1,0
40,9,1,1,0
41,9,1,1,0
42,9,1,1,0
43,9,1,1,0
44,9,1,1,0
45,9,1,1,0
46,9,1,1,0
47,9,1,1,0
48,9,1,1,0
49,9,1,1,0
50,9,1,1,0
51,9,1,1,0
52,9,1,1,0
53,9,1,1,0
54,9,1,1,0
55,9,1,1,0
56,9,1,1,0
57,9,1,1,0
58,9,1,1,0
59,9,1,1,0
60,9,1,1,0
61,9,1,1,0
62,8,2,1,0
63,8,2,1,0
64,8,2,1,0
65,8,2,1,0
66,8,2,1,0
67,8,2,1,0
68,8,2,1,0
69,8,2,1,0
70,8,2,1,0
71,8,2,1,0
72,8,2,1,0
73,8,2,1,0
74,8,2,1,0
75,8,2,1,0
76,8,2,1,0
77,8,2,1,0
78,8,2,1,0
79,8,2,1,0
80,8,2,1,0
81,8,2,1,0
82,8,2,1,0
83,8,2,1,0
84,8,2,1,0
85,8,2,1,0
86,8,2,1,0
87,8,2,1,0
88,8,2,1,0
89,8,2,1,0
90,8,2,1,0
91,8,2,1,0
92,8,2,1,0
93,7,3,1,0
94,7,3,1,0
95,7,3,1,0
96,7,3,1,0
97,7,3,1,0
98,7,3,1,0
99,7,3,1,0
